id,name,slug,description,price,comparePrice,images,isActive,createdAt,updatedAt,brandId
prod_1,"Dr. Vranjes - Firenze","dr-vranjes-firenze","Ароматическая свеча с нотами ириса, жасмина и ванили",4500.00,5500.00,"{""https://images.unsplash.com/photo-1513475382585-d06e58bcb0e0?w=500"",""https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f?w=500""}",true,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,brand_1
prod_2,"Locherber Milano - Milano","locherber-milano-milano","Роскошная свеча с ароматом миланского сада",3800.00,4500.00,"{""https://images.unsplash.com/photo-1513475382585-d06e58bcb0e0?w=500"",""https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f?w=500""}",true,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,brand_2
prod_3,"Mathilde M - Paris","mathilde-m-paris","Французская свеча ручной работы с ароматом Парижа",5200.00,6200.00,"{""https://images.unsplash.com/photo-1513475382585-d06e58bcb0e0?w=500"",""https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f?w=500""}",true,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,brand_3
prod_4,"Diptyque - Baies","diptyque-baies","Классическая свеча с ароматом черной смородины и розы",6500.00,7500.00,"{""https://images.unsplash.com/photo-1513475382585-d06e58bcb0e0?w=500"",""https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f?w=500""}",true,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,brand_4
prod_5,"Byredo - Bibliothèque","byredo-bibliotheque","Ароматическая свеча с нотами персика, сливы и ванили",7200.00,8200.00,"{""https://images.unsplash.com/photo-1513475382585-d06e58bcb0e0?w=500"",""https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f?w=500""}",true,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,brand_5
prod_6,"Le Labo - Santal 26","le-labo-santal-26","Свеча с ароматом сандалового дерева",6800.00,7800.00,"{""https://images.unsplash.com/photo-1513475382585-d06e58bcb0e0?w=500"",""https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f?w=500""}",true,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,brand_6
prod_7,"Tom Dixon - London","tom-dixon-london","Ароматическая свеча с нотами лондонского тумана",5800.00,6800.00,"{""https://images.unsplash.com/photo-1513475382585-d06e58bcb0e0?w=500"",""https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f?w=500""}",true,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,brand_7
prod_8,"Cire Trudon - Abd El Kader","cire-trudon-abd-el-kader","Роскошная свеча с ароматом мяты и эвкалипта",8500.00,9500.00,"{""https://images.unsplash.com/photo-1513475382585-d06e58bcb0e0?w=500"",""https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f?w=500""}",true,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,brand_8


